department,type,amount,date
"Block A",electricity,302.7,2024-03-01
"Block A",water,849.8,2024-03-01
"Block A",waste,46.6,2024-03-01
"Block B",electricity,264.4,2024-03-01
"Block B",water,677.6,2024-03-01
"Block B",waste,38.6,2024-03-01
"Block C",electricity,239.5,2024-03-01
"Block C",water,657.1,2024-03-01
"Block C",waste,33.2,2024-03-01
"Block A",electricity,300.1,2024-03-02
"Block A",water,891.2,2024-03-02
"Block A",waste,44,2024-03-02
"Block B",electricity,269.6,2024-03-02
"Block B",water,690.6,2024-03-02
"Block B",waste,38.1,2024-03-02
"Block C",electricity,265.2,2024-03-02
"Block C",water,681.2,2024-03-02
"Block C",waste,31.8,2024-03-02
"Block A",electricity,330.3,2024-03-03
"Block A",water,829.9,2024-03-03
"Block A",waste,44.7,2024-03-03
"Block B",electricity,284.3,2024-03-03
"Block B",water,716.4,2024-03-03
"Block B",waste,37.8,2024-03-03
"Block C",electricity,266.3,2024-03-03
"Block C",water,693.3,2024-03-03
"Block C",waste,34.6,2024-03-03
"Block A",electricity,296.7,2024-03-04
"Block A",water,863,2024-03-04
"Block A",waste,41.2,2024-03-04
"Block B",electricity,258.7,2024-03-04
"Block B",water,666.7,2024-03-04
"Block B",waste,34.5,2024-03-04
"Block C",electricity,249.2,2024-03-04
"Block C",water,663.4,2024-03-04
"Block C",waste,33.3,2024-03-04
"Block A",electricity,292.8,2024-03-05
"Block A",water,854.2,2024-03-05
"Block A",waste,41.3,2024-03-05
"Block B",electricity,259.7,2024-03-05
"Block B",water,758,2024-03-05
"Block B",waste,37.3,2024-03-05
"Block C",electricity,254.3,2024-03-05
"Block C",water,679,2024-03-05
"Block C",waste,33.4,2024-03-05
"Block A",electricity,291.7,2024-03-06
"Block A",water,895.2,2024-03-06
"Block A",waste,46.5,2024-03-06
"Block B",electricity,279.7,2024-03-06
"Block B",water,725.4,2024-03-06
"Block B",waste,38.9,2024-03-06
"Block C",electricity,262.8,2024-03-06
"Block C",water,687.4,2024-03-06
"Block C",waste,32.6,2024-03-06
"Block A",electricity,289.1,2024-03-07
"Block A",water,801.4,2024-03-07
"Block A",waste,41.5,2024-03-07
"Block B",electricity,289.8,2024-03-07
"Block B",water,681.3,2024-03-07
"Block B",waste,38.4,2024-03-07
"Block C",electricity,257.9,2024-03-07
"Block C",water,690.8,2024-03-07
"Block C",waste,32.8,2024-03-07
"Block A",electricity,1236.6,2024-03-08
"Block A",water,803.8,2024-03-08
"Block A",waste,45.4,2024-03-08
"Block B",electricity,267.1,2024-03-08
"Block B",water,706.6,2024-03-08
"Block B",waste,35.6,2024-03-08
"Block C",electricity,244.5,2024-03-08
"Block C",water,635.2,2024-03-08
"Block C",waste,31.4,2024-03-08
"Block A",electricity,1262.8,2024-03-09
"Block A",water,894.9,2024-03-09
"Block A",waste,46.3,2024-03-09
"Block B",electricity,259.9,2024-03-09
"Block B",water,690.8,2024-03-09
"Block B",waste,34.7,2024-03-09
"Block C",electricity,241.2,2024-03-09
"Block C",water,683.3,2024-03-09
"Block C",waste,30.7,2024-03-09
"Block A",electricity,1245.9,2024-03-10
"Block A",water,849.7,2024-03-10
"Block A",waste,42.9,2024-03-10
"Block B",electricity,277.4,2024-03-10
"Block B",water,686.4,2024-03-10
"Block B",waste,35,2024-03-10
"Block C",electricity,270,2024-03-10
"Block C",water,689.5,2024-03-10
"Block C",waste,34.3,2024-03-10
"Block A",electricity,327.3,2024-03-11
"Block A",water,812.7,2024-03-11
"Block A",waste,41.8,2024-03-11
"Block B",electricity,271.2,2024-03-11
"Block B",water,666.9,2024-03-11
"Block B",waste,36.4,2024-03-11
"Block C",electricity,249.4,2024-03-11
"Block C",water,678.7,2024-03-11
"Block C",waste,30.9,2024-03-11
"Block A",electricity,329.1,2024-03-12
"Block A",water,789.3,2024-03-12
"Block A",waste,42.8,2024-03-12
"Block B",electricity,272.9,2024-03-12
"Block B",water,721.5,2024-03-12
"Block B",waste,35.1,2024-03-12
"Block C",electricity,264.8,2024-03-12
"Block C",water,663.5,2024-03-12
"Block C",waste,34.8,2024-03-12
"Block A",electricity,308.8,2024-03-13
"Block A",water,826.2,2024-03-13
"Block A",waste,46.3,2024-03-13
"Block B",electricity,262.8,2024-03-13
"Block B",water,721.2,2024-03-13
"Block B",waste,38.3,2024-03-13
"Block C",electricity,259.9,2024-03-13
"Block C",water,686.5,2024-03-13
"Block C",waste,31,2024-03-13
"Block A",electricity,291.9,2024-03-14
"Block A",water,827.6,2024-03-14
"Block A",waste,41.8,2024-03-14
"Block B",electricity,280.4,2024-03-14
"Block B",water,703.2,2024-03-14
"Block B",waste,38.8,2024-03-14
"Block C",electricity,237.6,2024-03-14
"Block C",water,642,2024-03-14
"Block C",waste,35.1,2024-03-14
"Block A",electricity,331.5,2024-03-15
"Block A",water,782.9,2024-03-15
"Block A",waste,46.7,2024-03-15
"Block B",electricity,258.5,2024-03-15
"Block B",water,725.2,2024-03-15
"Block B",waste,37.7,2024-03-15
"Block C",electricity,261.4,2024-03-15
"Block C",water,680,2024-03-15
"Block C",waste,33.2,2024-03-15
"Block A",electricity,299.3,2024-03-16
"Block A",water,860.8,2024-03-16
"Block A",waste,46.8,2024-03-16
"Block B",electricity,269.7,2024-03-16
"Block B",water,677.1,2024-03-16
"Block B",waste,34.9,2024-03-16
"Block C",electricity,238.1,2024-03-16
"Block C",water,652.2,2024-03-16
"Block C",waste,33.5,2024-03-16
"Block A",electricity,321,2024-03-17
"Block A",water,792.9,2024-03-17
"Block A",waste,46.9,2024-03-17
"Block B",electricity,282.1,2024-03-17
"Block B",water,716.8,2024-03-17
"Block B",waste,35.3,2024-03-17
"Block C",electricity,247,2024-03-17
"Block C",water,699,2024-03-17
"Block C",waste,34.6,2024-03-17
"Block A",electricity,300.3,2024-03-18
"Block A",water,784.8,2024-03-18
"Block A",waste,43,2024-03-18
"Block B",electricity,293.3,2024-03-18
"Block B",water,745.2,2024-03-18
"Block B",waste,38.9,2024-03-18
"Block C",electricity,259.9,2024-03-18
"Block C",water,663,2024-03-18
"Block C",waste,34.3,2024-03-18
"Block A",electricity,289.9,2024-03-19
"Block A",water,808.9,2024-03-19
"Block A",waste,45,2024-03-19
"Block B",electricity,266.8,2024-03-19
"Block B",water,737.1,2024-03-19
"Block B",waste,36.5,2024-03-19
"Block C",electricity,254.8,2024-03-19
"Block C",water,669,2024-03-19
"Block C",waste,31.5,2024-03-19
"Block A",electricity,292.3,2024-03-20
"Block A",water,840.5,2024-03-20
"Block A",waste,45.2,2024-03-20
"Block B",electricity,259.2,2024-03-20
"Block B",water,718.8,2024-03-20
"Block B",waste,34.8,2024-03-20
"Block C",electricity,248,2024-03-20
"Block C",water,654.3,2024-03-20
"Block C",waste,32.8,2024-03-20
"Block A",electricity,290.5,2024-03-21
"Block A",water,895.9,2024-03-21
"Block A",waste,41,2024-03-21
"Block B",electricity,292,2024-03-21
"Block B",water,746.2,2024-03-21
"Block B",waste,36.6,2024-03-21
"Block C",electricity,264.2,2024-03-21
"Block C",water,635.9,2024-03-21
"Block C",waste,33.8,2024-03-21
"Block A",electricity,311.4,2024-03-22
"Block A",water,823.1,2024-03-22
"Block A",waste,42.2,2024-03-22
"Block B",electricity,291.1,2024-03-22
"Block B",water,2686.3,2024-03-22
"Block B",waste,35.9,2024-03-22
"Block C",electricity,264.5,2024-03-22
"Block C",water,623.1,2024-03-22
"Block C",waste,32.1,2024-03-22
"Block A",electricity,294.9,2024-03-23
"Block A",water,817.6,2024-03-23
"Block A",waste,47.1,2024-03-23
"Block B",electricity,257.1,2024-03-23
"Block B",water,2716.5,2024-03-23
"Block B",waste,37.8,2024-03-23
"Block C",electricity,256.2,2024-03-23
"Block C",water,716.7,2024-03-23
"Block C",waste,35.2,2024-03-23
"Block A",electricity,322.6,2024-03-24
"Block A",water,842.5,2024-03-24
"Block A",waste,46,2024-03-24
"Block B",electricity,273.9,2024-03-24
"Block B",water,2635.3,2024-03-24
"Block B",waste,35.7,2024-03-24
"Block C",electricity,248.1,2024-03-24
"Block C",water,650.3,2024-03-24
"Block C",waste,31.7,2024-03-24
"Block A",electricity,294.3,2024-03-25
"Block A",water,860.3,2024-03-25
"Block A",waste,42.3,2024-03-25
"Block B",electricity,263,2024-03-25
"Block B",water,684.3,2024-03-25
"Block B",waste,39.6,2024-03-25
"Block C",electricity,243.1,2024-03-25
"Block C",water,669.7,2024-03-25
"Block C",waste,30.7,2024-03-25
"Block A",electricity,327.4,2024-03-26
"Block A",water,831.1,2024-03-26
"Block A",waste,44.8,2024-03-26
"Block B",electricity,290.7,2024-03-26
"Block B",water,737.6,2024-03-26
"Block B",waste,37.9,2024-03-26
"Block C",electricity,252.4,2024-03-26
"Block C",water,651.8,2024-03-26
"Block C",waste,33.4,2024-03-26
"Block A",electricity,315.6,2024-03-27
"Block A",water,822.7,2024-03-27
"Block A",waste,46.7,2024-03-27
"Block B",electricity,269.7,2024-03-27
"Block B",water,672.5,2024-03-27
"Block B",waste,38.4,2024-03-27
"Block C",electricity,251.6,2024-03-27
"Block C",water,693,2024-03-27
"Block C",waste,35.1,2024-03-27
"Block A",electricity,331.2,2024-03-28
"Block A",water,807.8,2024-03-28
"Block A",waste,44.7,2024-03-28
"Block B",electricity,258.8,2024-03-28
"Block B",water,730.4,2024-03-28
"Block B",waste,37.7,2024-03-28
"Block C",electricity,270.5,2024-03-28
"Block C",water,657.9,2024-03-28
"Block C",waste,34.7,2024-03-28
"Block A",electricity,314.1,2024-03-29
"Block A",water,790.2,2024-03-29
"Block A",waste,41.4,2024-03-29
"Block B",electricity,265.9,2024-03-29
"Block B",water,757.5,2024-03-29
"Block B",waste,39.6,2024-03-29
"Block C",electricity,257.3,2024-03-29
"Block C",water,632.6,2024-03-29
"Block C",waste,31.5,2024-03-29
"Block A",electricity,300.1,2024-03-30
"Block A",water,814.7,2024-03-30
"Block A",waste,45.9,2024-03-30
"Block B",electricity,285.9,2024-03-30
"Block B",water,739.3,2024-03-30
"Block B",waste,38.4,2024-03-30
"Block C",electricity,264.9,2024-03-30
"Block C",water,627.3,2024-03-30
"Block C",waste,30.7,2024-03-30
